,Australian Bureau of Statistics,,,,,,,,
,,,,,,,,,
,2021 Census - selected dwelling characteristics,,,,,,,,
,SAL (EN) by VEHRD Number of Motor Vehicles (ranges),,,,,,,,
,Counting: Dwelling Records,,,,,,,,
,,,,,,,,,
,Filters:,,,,,,,,
,Default Summation,Dwelling Records,,,,,,,
,,,,,,,,,
,VEHRD Number of Motor Vehicles (ranges),No motor vehicles,One motor vehicle,Two motor vehicles,Three motor vehicles,Four or more motor vehicles,Not stated,Not applicable,Total
State,SAL (EN),,,,,,,,
NSW,Arumpo,0,6,4,3,0,6,5,25
NSW,Ashbury,75,358,443,147,75,27,45,1167
NSW,Ashby (NSW),0,38,67,16,7,11,14,161
NSW,Ashby Heights,0,28,56,20,11,16,9,132
NSW,Ashby Island,0,0,0,0,0,0,0,13
NSW,Ashcroft,167,370,292,115,76,146,123,1302
NSW,Ashfield (NSW),2114,4871,1670,348,159,424,1152,10733
NSW,Ashford (NSW),14,97,81,43,28,30,48,345
NSW,Ashley,0,29,40,21,13,22,14,149
NSW,Ashmont,193,619,432,113,47,162,116,1681
NSW,Ashtonfield,30,379,700,294,164,28,53,1644
NSW,Asquith,146,1166,693,153,61,57,163,2443
NSW,Atholwood,0,3,19,4,3,3,13,42
NSW,Attunga,6,60,92,34,20,16,20,246
NSW,Auburn (NSW),1943,4517,2640,930,563,1166,1161,12933
NSW,Auburn Vale,0,5,22,7,7,0,10,53
NSW,Austinmer,20,314,426,133,65,23,127,1104
NSW,Austral,66,640,857,239,154,162,142,2260
NSW,Austral Eden,0,13,17,10,8,5,5,62
NSW,Avalon Beach,111,1017,1556,560,323,107,310,3981
NSW,Avisford,0,5,3,10,0,3,11,30
NSW,Avoca (NSW),0,6,37,18,18,5,12,89
NSW,Avoca Beach,25,411,743,252,153,55,588,2213
NSW,Avon (NSW),0,0,0,0,0,0,0,0
NSW,Avondale (NSW),53,202,270,84,48,39,22,715
NSW,Avonside,0,9,28,19,6,7,7,67
NSW,Awaba,3,28,52,31,31,7,0,149
NSW,Aylmerton,0,18,36,19,10,3,6,92
NSW,Baan Baa,0,14,22,8,6,12,10,77
NSW,Babinda (NSW),0,3,6,0,3,0,4,9
NSW,Babyl Creek,0,0,0,0,0,0,0,3
NSW,Back Creek (Bland - NSW),0,3,6,7,4,0,11,26
NSW,Back Creek (Gwydir - NSW),0,0,4,0,3,0,0,4
NSW,Back Creek (Mid-Coast - NSW),0,0,3,4,0,3,6,13
NSW,Back Creek (Queanbeyan-Palerang Regional - NSW),0,0,0,0,0,0,18,20
NSW,Back Creek (Tenterfield - NSW),0,3,0,0,0,0,0,4
NSW,Back Creek (Tweed - NSW),0,0,4,0,0,0,6,14
NSW,Back Forest,0,5,9,7,7,3,0,35
NSW,Backmede,0,8,22,13,12,0,3,56
NSW,Backwater,0,0,5,0,0,0,10,17
NSW,Badgerys Creek,0,18,7,13,7,5,9,68
NSW,Badja,0,0,0,0,0,0,0,5
NSW,Baerami,0,3,20,7,6,3,7,45
NSW,Baerami Creek,0,0,6,0,3,0,5,11
NSW,Bagnoo,0,5,7,6,0,0,0,24
NSW,Bago,0,0,3,0,0,3,0,16
NSW,Bagotville,0,0,14,7,0,3,6,23
NSW,Bakers Creek (Mid-Coast - NSW),0,9,6,7,0,0,6,20
NSW,Bakers Creek (Nambucca Valley - NSW),0,7,4,0,0,4,10,22
NSW,Bakers Creek (Uralla - NSW),0,0,0,0,0,0,0,3
NSW,Bakers Swamp,0,11,6,4,9,3,0,30
NSW,Balaclava (NSW),0,50,93,26,26,3,9,211
NSW,Balala,0,12,20,12,7,4,18,73
NSW,Balcolyn,10,122,164,61,34,8,70,468
NSW,Bald Blair,0,3,8,4,3,0,5,24
NSW,Bald Hills (NSW),0,23,57,25,19,0,11,127
NSW,Bald Nob,0,4,6,0,0,4,0,11
NSW,Bald Ridge,0,0,4,0,0,5,0,10
NSW,Baldersleigh,0,8,10,4,0,3,8,30
NSW,Baldry,0,0,12,5,3,0,9,36
NSW,Balfours Peak,0,0,5,5,0,4,0,18
NSW,Balgowlah,236,1571,1052,199,87,81,216,3443
NSW,Balgowlah Heights,21,244,538,179,68,17,45,1116
NSW,Balgownie,93,687,889,262,174,76,104,2290
NSW,Balickera,0,3,4,0,0,0,0,8
NSW,Balladoran,0,9,9,12,14,8,14,61
NSW,Ballalaba,0,0,3,0,0,0,11,17
NSW,Balldale,0,18,21,8,5,13,5,78
NSW,Ballengarra,0,7,13,8,10,0,3,35
NSW,Ballimore,0,11,27,19,17,11,5,97
NSW,Ballina,521,2155,1227,311,120,319,411,5060
NSW,Ballyroe,0,0,0,0,0,0,0,6
NSW,Balmain,673,2455,1114,175,60,187,575,5241
NSW,Balmain East,111,411,216,38,18,41,138,974
NSW,Balmoral (Lake Macquarie - NSW),5,78,110,56,22,11,20,297
NSW,Balmoral (Wingecarribee - NSW),0,24,56,38,24,7,13,178
NSW,Balranald,38,176,155,70,41,76,157,700
NSW,Bamarang,0,3,5,6,0,0,0,15
NSW,Banda Banda,0,0,0,0,0,0,0,0
NSW,Bandon Grove,0,13,21,4,6,3,41,87
NSW,Bangadang,0,0,0,4,0,0,0,3
NSW,Bangalee (NSW),7,46,112,65,48,12,17,296
NSW,Bangalow,8,280,405,136,67,101,81,1086
NSW,Bangheet,0,9,6,5,4,0,3,25
NSW,Bango,0,8,18,15,5,0,13,57
NSW,Bangor (NSW),32,418,844,326,199,24,47,1887
NSW,Banksia,108,443,366,133,47,44,61,1204
NSW,Banksmeadow,21,110,65,10,4,42,27,280
NSW,Bankstown,1524,4983,2945,857,480,1030,1207,13040
NSW,Bankstown Aerodrome,0,4,0,0,0,0,3,8
NSW,Bannaby,0,11,7,6,3,0,25,51
NSW,Bannister (NSW),0,8,26,16,7,3,17,85
