State,Suburb,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
VIC,Summerlands,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Sunbury,606,630,3080,2923,6183,10042,35,2283,856,2302,7144,36084
VIC,Sunday Creek,5,4,23,26,70,85,0,26,5,30,48,309
VIC,Sunderland Bay,4,8,19,11,46,44,0,16,5,18,53,233
VIC,Sunset Strip (Vic.),4,6,27,20,73,95,3,21,9,60,117,425
VIC,Sunshine (Vic.),339,158,1238,617,884,2545,11,969,438,915,1661,9772
VIC,Sunshine North,225,79,1045,647,955,3422,9,1552,673,1024,2076,11699
VIC,Sunshine West,402,133,1718,1105,1642,5193,26,2498,933,1655,3278,18585
VIC,Surf Beach (Vic.),5,18,44,48,99,110,0,19,25,56,113,527
VIC,Surrey Hills,1353,591,3388,980,662,2681,4,444,297,625,2600,13606
VIC,Sutherland (Vic.),0,0,4,0,6,9,0,0,0,3,0,24
VIC,Sutherlands Creek,4,0,14,4,17,27,0,5,0,13,25,114
VIC,Sutton (Vic.),0,0,0,0,0,0,0,0,0,0,0,0
VIC,Sutton Grange,8,10,11,12,17,24,0,6,3,24,19,136
VIC,Swan Bay (Vic.),5,8,6,8,7,13,0,0,0,9,8,59
VIC,Swan Hill,89,130,733,632,1533,2844,10,1156,312,1426,2060,10907
VIC,Swan Hill West,0,0,0,0,0,0,0,0,0,0,5,3
VIC,Swan Island,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Swan Marsh,0,3,7,4,26,37,0,13,4,14,20,118
VIC,Swan Reach (Vic.),6,13,47,55,149,179,5,64,14,97,115,746
VIC,Swanpool,0,4,19,13,42,56,5,20,7,16,27,208
VIC,Swanwater,0,0,6,0,0,4,0,0,0,5,3,20
VIC,Swanwater West,0,0,4,0,0,6,0,0,0,0,0,17
VIC,Swifts Creek,3,6,23,15,35,66,0,32,0,49,52,279
VIC,Sydenham (Vic.),362,125,1254,851,1261,2898,11,781,321,903,2075,10844
VIC,Sylvaterre,0,0,0,0,0,0,0,0,0,0,8,14
VIC,Tabberabbera,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Tabilk,0,0,9,12,21,29,0,8,0,24,28,136
VIC,Tabor,0,0,9,5,6,6,0,6,0,0,11,40
VIC,Taggerty,6,9,39,21,56,77,0,26,13,30,55,331
VIC,Tahara,0,0,3,0,4,11,0,6,0,0,5,38
VIC,Tahara Bridge,0,0,0,0,0,5,0,0,0,0,6,17
VIC,Tahara West,0,0,0,0,0,7,0,0,0,0,3,22
VIC,Talbot (Vic.),5,0,12,28,69,136,0,67,14,60,36,441
VIC,Talgarno,7,9,41,10,33,37,0,19,5,22,39,221
VIC,Tallandoon,0,0,5,14,8,18,0,6,0,10,9,75
VIC,Tallangatta,6,12,70,89,208,275,0,93,26,99,196,1080
VIC,Tallangatta East,0,0,3,3,18,14,0,0,0,0,12,51
VIC,Tallangatta South,0,0,15,11,31,39,0,7,0,7,28,141
VIC,Tallangatta Valley,0,4,16,10,27,47,0,11,4,30,40,201
VIC,Tallarook,11,10,80,70,108,170,0,55,19,81,128,734
VIC,Tallygaroopna,3,9,36,35,98,155,0,45,10,60,133,579
VIC,Tambo Crossing,0,0,4,5,0,3,0,0,0,0,0,18
VIC,Tambo Upper,0,3,23,24,61,87,0,25,0,31,60,325
VIC,Tamboon,0,0,0,0,0,3,0,0,0,8,3,14
VIC,Tamboritha,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Taminick,4,4,12,7,19,21,0,9,0,6,21,100
VIC,Tamleugh,0,0,6,9,5,16,0,7,0,5,0,45
VIC,Tamleugh North,3,0,3,0,3,6,0,0,3,3,6,33
VIC,Tandarook,0,0,0,0,4,10,0,0,0,0,5,18
VIC,Tandarra,0,0,3,0,13,9,0,5,0,6,9,49
VIC,Tangambalanga,3,11,35,37,99,128,0,46,4,44,130,545
VIC,Tanjil,0,0,0,0,0,0,0,0,0,0,0,0
VIC,Tanjil Bren,0,0,0,0,0,0,0,0,0,3,0,12
VIC,Tanjil South,4,0,34,46,118,132,0,41,8,66,91,544
VIC,Tanwood,0,0,0,0,8,0,0,3,0,10,5,29
