State,Suburb,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Not applicable,Total
NSW,Aarons Pass,0,0,0,0,7,8,0,0,0,3,5,20
NSW,Abbotsbury,94,35,502,360,577,1261,5,284,207,179,747,4251
NSW,Abbotsford (NSW),395,120,1009,444,451,1160,0,313,215,437,830,5377
NSW,Abercrombie,26,20,141,75,204,250,0,51,33,38,278,1111
NSW,Abercrombie River,0,0,0,0,4,10,0,4,0,0,0,23
NSW,Aberdare,10,10,70,119,457,743,4,273,39,222,530,2471
NSW,Aberdeen (NSW),8,14,60,72,384,568,3,247,51,228,451,2088
NSW,Aberfoyle,4,0,11,6,12,26,0,4,0,11,25,101
NSW,Aberglasslyn,70,48,356,385,1099,1319,8,330,108,244,1444,5403
NSW,Abermain,6,14,86,103,462,638,4,317,64,177,475,2336
NSW,Abernethy,0,0,7,19,69,52,0,27,6,78,87,345
NSW,Abington (NSW),0,0,3,0,0,3,0,0,0,0,0,15
NSW,Acacia Creek,0,0,0,5,0,18,0,5,0,8,9,37
NSW,Acacia Gardens,227,55,647,298,418,862,0,146,112,132,897,3799
NSW,Adaminaby,0,0,14,25,59,80,0,41,11,37,36,305
NSW,Adamstown,218,101,845,471,918,1485,3,408,172,298,1127,6046
NSW,Adamstown Heights,241,103,879,446,702,1114,0,304,173,217,1107,5295
NSW,Adelong,10,5,35,48,171,268,0,105,19,100,182,944
NSW,Adjungbilly,0,0,5,4,17,15,0,5,0,12,25,86
NSW,Afterlee,0,0,4,0,10,16,0,10,0,9,6,47
NSW,Agnes Banks,14,8,56,53,159,229,0,88,26,60,218,911
NSW,Airds,10,3,28,93,231,912,9,421,74,374,778,2927
NSW,Akolele,7,5,0,3,17,37,0,17,4,45,34,168
NSW,Albert,0,0,6,3,12,16,0,4,4,16,23,82
NSW,Albion Park,156,117,801,929,2675,3479,12,991,395,820,2949,13319
NSW,Albion Park Rail,47,37,291,413,1371,1848,7,673,254,698,1284,6918
NSW,Albury,232,131,768,407,579,1022,0,258,139,519,752,4802
NSW,Aldavilla,7,0,45,40,157,189,3,64,23,600,102,1226
NSW,Alectown,4,0,9,19,13,48,0,21,7,20,25,170
NSW,Alexandria,972,265,2490,703,582,1386,3,123,172,688,872,8264
NSW,Alfords Point,121,54,450,290,420,817,0,159,146,134,523,3112
NSW,Alfredtown,5,0,14,8,23,11,0,4,4,13,29,109
NSW,Alice,0,0,0,0,0,7,0,0,0,0,0,6
NSW,Alison (Central Coast - NSW),0,0,5,4,18,26,0,9,4,17,21,95
NSW,Alison (Dungog - NSW),6,0,12,6,13,23,0,7,0,15,8,78
NSW,Allambie Heights,320,133,1095,615,798,1504,0,293,251,424,1570,7006
NSW,Allandale (NSW),0,0,6,6,11,15,0,7,0,8,11,74
NSW,Allawah,478,64,1091,533,401,1491,3,268,211,311,847,5710
NSW,Alleena,0,0,4,0,4,15,0,9,4,11,13,56
NSW,Allgomera,0,0,11,10,25,39,0,11,4,8,21,132
NSW,Allworth,0,0,6,5,40,33,0,14,8,18,35,168
NSW,Allynbrook,0,6,10,7,9,16,0,7,0,4,5,67
NSW,Alma Park,3,0,5,5,6,9,0,4,0,5,20,55
NSW,Alpine,3,5,19,19,14,26,0,9,4,11,33,141
NSW,Alstonvale,10,10,66,39,63,100,0,25,17,31,73,441
NSW,Alstonville,137,109,678,491,862,1327,11,518,166,465,976,5738
NSW,Alumy Creek,0,0,3,8,18,17,0,10,4,7,17,90
NSW,Amaroo (NSW),0,0,9,4,7,11,0,4,0,6,12,49
NSW,Ambarvale,85,38,375,436,1038,2180,14,593,243,664,1717,7378
NSW,Amosfield,0,0,3,4,11,5,0,5,0,3,6,35
NSW,Anabranch North,0,0,0,0,0,3,0,0,0,0,0,5
NSW,Anabranch South,0,0,7,0,0,16,0,3,0,5,7,36
NSW,Anambah,0,0,0,0,3,5,0,3,0,14,9,36
NSW,Ando,0,0,3,5,14,21,0,9,0,6,9,69
NSW,Anembo,0,0,3,8,9,12,0,0,0,15,15,67
NSW,Angledale,0,0,5,10,40,34,0,13,0,16,25,152
NSW,Angledool,0,0,4,0,9,14,0,6,0,20,3,55
NSW,Anglers Reach,3,0,8,6,15,11,0,10,8,28,9,90
NSW,Angourie,15,6,44,20,33,47,0,11,5,26,31,219
NSW,Anna Bay,28,40,222,271,778,990,4,333,85,491,599,3844
NSW,Annandale (NSW),1154,297,2470,649,556,1555,4,266,190,746,1564,9452
NSW,Annangrove,38,14,160,123,240,369,0,85,59,76,244,1399
NSW,Appin (NSW),33,27,182,187,544,614,0,166,65,143,677,2633
NSW,Apple Tree Flat,0,0,3,0,5,12,0,0,5,11,6,37
NSW,Appleby,0,0,0,0,8,7,0,9,0,5,11,39
NSW,Appletree Flat,0,0,0,0,0,0,0,5,0,0,5,13
NSW,Apsley (NSW),0,0,8,17,6,27,0,11,3,11,19,108
NSW,Arable,0,0,0,0,4,5,0,4,0,5,0,13
NSW,Arakoon,12,3,50,57,93,89,0,31,16,31,35,419
NSW,Araluen (NSW),3,7,23,16,24,35,0,12,3,35,15,168
NSW,Aratula (NSW),0,0,0,0,0,0,0,0,0,0,7,9
NSW,Arcadia (NSW),64,30,182,127,191,337,0,59,53,66,278,1384
NSW,Arcadia Vale,23,10,92,106,304,329,0,114,39,82,257,1375
NSW,Ardglen,0,0,5,0,7,9,0,8,0,12,15,60
NSW,Arding,7,4,26,26,27,43,0,13,8,18,35,206
NSW,Ardlethan,0,0,25,24,71,146,0,84,9,90,63,517
NSW,Argalong,0,0,0,0,4,15,0,0,5,0,10,31
NSW,Argenton,5,4,49,59,232,390,3,205,27,126,239,1347
NSW,Argents Hill,0,0,14,13,53,54,3,24,5,21,32,219
NSW,Argoon (NSW),0,0,0,0,0,0,0,0,0,0,7,17
NSW,Ariah Park,0,6,41,26,64,124,0,59,10,49,110,492
NSW,Arkell,0,0,6,3,11,7,0,3,0,7,10,45
NSW,Arkstone,0,0,0,0,4,5,0,0,0,5,9,22
NSW,Armatree,0,0,15,4,16,33,0,17,3,22,39,152
NSW,Armidale,1608,511,2826,1389,2662,6026,20,1470,569,2129,4126,23348
NSW,Arncliffe,655,124,1737,768,837,2744,6,710,461,874,1687,10590
NSW,Arndell Park,0,0,0,0,10,4,0,0,0,12,0,32
NSW,Arrawarra,4,0,29,35,100,136,0,76,17,104,27,521
NSW,Arrawarra Headland,13,18,79,35,68,152,0,39,26,41,94,553
NSW,Artarmon,1213,259,2520,696,399,1593,0,216,237,563,1832,9525
NSW,Arthurville,0,4,10,0,8,7,0,3,3,0,3,37
NSW,Arumpo,0,0,6,3,11,8,0,3,0,0,6,33
NSW,Ashbury,208,81,513,246,350,736,3,251,110,168,662,3326
NSW,Ashby (NSW),17,11,17,28,66,69,0,30,21,39,29,329
NSW,Ashby Heights,3,0,14,22,52,59,0,18,6,25,37,229
NSW,Ashby Island,0,0,0,0,3,10,0,0,0,5,0,16
NSW,Ashcroft,21,8,111,118,281,1063,10,420,191,460,902,3581
NSW,Ashfield (NSW),2400,474,5365,1902,1455,5253,8,1200,837,1996,2942,23839
NSW,Ashford (NSW),4,0,19,28,98,179,0,97,11,111,98,647
NSW,Ashley,3,3,12,18,54,87,0,33,12,44,107,364
NSW,Ashmont,19,15,118,142,552,1085,4,511,108,394,875,3830
NSW,Ashtonfield,124,70,433,388,788,1074,3,290,105,242,1125,4647
NSW,Asquith,246,71,600,330,335,680,0,136,120,145,715,3378
NSW,Atholwood,0,0,0,7,17,15,0,12,3,8,15,81
NSW,Attunga,8,6,35,30,109,156,0,47,14,58,110,573
NSW,Auburn (NSW),1752,236,4297,2259,1920,11014,35,3297,2578,2742,7246,37370
NSW,Auburn Vale,4,0,11,13,21,20,0,7,9,11,29,124
NSW,Austinmer,235,105,540,226,254,405,0,66,63,143,519,2560
NSW,Austral,32,8,151,143,404,775,0,429,167,419,497,3022
NSW,Austral Eden,3,0,8,3,25,46,0,17,6,16,27,146
NSW,Avalon Beach,489,220,1685,1021,1090,2239,0,305,333,557,1966,9908
NSW,Avisford,0,0,0,0,7,4,0,3,0,7,5,27
NSW,Avoca (NSW),6,3,22,18,27,57,0,10,7,12,42,202
NSW,Avoca Beach,163,91,686,454,622,994,0,180,144,242,1006,4585
NSW,Avon (NSW),0,0,0,0,0,0,0,0,0,0,0,0
NSW,Avondale (NSW),26,18,86,103,326,446,3,135,60,152,301,1654
NSW,Avonside,0,0,19,18,22,11,0,7,0,15,34,122
NSW,Awaba,4,0,31,28,68,118,0,39,11,18,89,400
NSW,Aylmerton,6,0,17,19,38,62,0,18,4,13,28,187
NSW,Baan Baa,0,0,8,12,25,51,0,18,3,22,32,163
NSW,Babinda (NSW),0,0,0,0,0,0,0,3,0,0,0,3
NSW,Babyl Creek,0,0,0,0,0,8,0,0,0,0,3,6
NSW,Back Creek (Bland - NSW),0,0,3,0,0,13,0,4,3,6,16,51
NSW,Back Creek (Gwydir - NSW),0,0,0,0,0,4,0,0,0,0,0,12
NSW,Back Creek (Mid-Coast - NSW),0,0,3,0,6,9,0,4,0,0,3,17
NSW,Back Creek (Queanbeyan-Palerang Regional - NSW),4,0,0,0,0,0,0,0,0,0,0,12
NSW,Back Creek (Tenterfield - NSW),0,0,0,0,5,0,0,0,0,0,0,12
NSW,Back Creek (Tweed - NSW),0,0,4,0,4,0,0,0,0,3,0,14
NSW,Back Forest,6,0,19,3,12,15,0,6,4,6,12,83
NSW,Backmede,0,4,13,4,34,36,0,14,0,19,29,153
NSW,Backwater,0,0,4,3,5,0,0,4,0,3,0,13
NSW,Badgerys Creek,4,3,3,5,25,61,0,51,6,11,53,229
NSW,Badja,0,0,0,0,5,0,0,0,0,0,0,9
NSW,Baerami,0,0,4,3,7,16,0,3,0,15,12,69
NSW,Baerami Creek,0,0,0,0,4,14,0,5,0,17,10,53
NSW,Bagnoo,0,0,4,4,8,9,0,7,6,3,9,40
NSW,Bago,0,0,0,3,11,11,0,4,0,0,11,41
NSW,Bagotville,3,0,7,4,9,10,0,9,0,3,3,47
NSW,Bakers Creek (Mid-Coast - NSW),0,0,3,0,4,12,0,5,0,0,5,35
NSW,Bakers Creek (Nambucca - NSW),0,0,0,0,3,0,0,4,0,7,0,14
NSW,Bakers Creek (Uralla - NSW),0,0,0,0,0,0,0,0,0,3,0,13
NSW,Bakers Swamp,3,0,10,5,3,9,0,0,3,5,5,50
NSW,Balaclava (NSW),17,5,29,36,91,112,3,32,19,67,91,497
NSW,Balala,0,0,11,5,21,27,0,11,4,34,20,139
NSW,Balcolyn,23,10,85,83,177,224,0,72,31,60,187,961
NSW,Bald Blair,0,0,4,4,10,15,0,0,0,7,13,48
NSW,Bald Hills (NSW),8,3,13,26,46,55,0,14,11,13,67,263
NSW,Bald Nob,0,0,0,5,0,9,0,0,0,0,0,12
NSW,Bald Ridge,0,0,0,0,0,0,0,0,0,0,0,7
NSW,Baldersleigh,4,0,3,5,3,14,0,0,0,9,5,54
NSW,Baldry,0,0,9,12,14,25,0,0,0,9,27,97
NSW,Balfours Peak,0,0,8,0,6,5,0,5,0,0,13,37
NSW,Balgowlah,586,203,1793,711,569,1416,0,186,273,503,1709,7963
NSW,Balgowlah Heights,305,90,799,232,123,565,0,105,80,135,901,3345
NSW,Balgownie,238,110,674,473,806,1250,3,436,204,337,994,5529
NSW,Balickera,0,0,0,0,4,7,0,0,0,0,7,25
NSW,Balladoran,0,0,3,11,17,34,0,19,0,3,16,109
NSW,Ballalaba,4,0,0,0,4,7,0,0,0,0,0,18
NSW,Balldale,0,0,15,5,17,37,0,13,0,32,33,159
NSW,Ballengarra,0,5,8,9,22,22,0,0,4,9,23,92
NSW,Ballimore,0,4,10,9,26,47,0,13,3,39,30,197
NSW,Ballina,125,78,614,588,1293,2259,4,1000,263,1416,1016,8648
NSW,Ballyroe,0,0,0,0,0,5,0,0,0,0,0,5
NSW,Balmain,1315,352,2629,785,544,1589,3,260,215,964,1792,10447
NSW,Balmain East,258,54,520,137,92,304,0,38,43,176,309,1937
NSW,Balmoral (Lake Macquarie - NSW),14,5,75,69,167,169,0,50,27,24,121,723
NSW,Balmoral (Wingecarribee - NSW),3,5,37,28,102,113,0,29,8,32,74,424
NSW,Balranald,13,9,56,53,146,389,3,212,25,175,256,1345
NSW,Bamarang,0,0,0,3,5,9,0,0,0,0,0,29
NSW,Banda Banda,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Bandon Grove,0,0,5,14,16,23,0,8,6,13,18,119
NSW,Bangadang,0,0,0,0,5,0,0,0,0,0,4,11
NSW,Bangalee (NSW),22,18,78,63,113,150,0,44,24,42,97,659
NSW,Bangalow,79,40,327,185,210,413,3,95,38,192,434,2021
NSW,Bangheet,0,0,4,6,4,11,0,0,0,6,11,40
NSW,Bango,4,0,3,3,11,37,0,6,0,9,8,99
NSW,Bangor (NSW),207,104,749,510,866,1377,7,278,214,243,1014,5567
NSW,Banksia,151,39,448,249,322,939,0,246,133,272,595,3383
NSW,Banksmeadow,0,0,0,0,10,9,0,4,0,4,5,18
NSW,Bankstown,1201,201,3618,2123,2210,8982,22,2429,1481,2787,7060,32116
NSW,Bankstown Aerodrome,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Bannaby,0,0,0,7,3,8,0,5,5,0,5,34
NSW,Bannister (NSW),4,0,15,13,22,20,0,9,4,9,31,123
NSW,Banoon,0,0,3,0,5,0,0,3,0,3,0,26
NSW,Banora Point,188,168,1114,1214,2731,4880,14,1464,510,1445,2446,16169
NSW,Banyabba,0,0,0,0,3,21,0,11,0,4,7,45
NSW,Bar Beach,92,25,299,86,103,284,0,57,29,122,160,1258
NSW,Bar Point,0,0,15,5,14,8,0,4,4,7,9,66
NSW,Bara,0,0,0,5,0,9,0,0,0,0,6,30
NSW,Baradine,4,5,28,26,103,219,0,134,14,90,130,759
NSW,Barangaroo,18,3,37,7,4,16,0,0,3,76,21,190
NSW,Barcoongere,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Barden Ridge,130,62,528,409,648,1172,0,207,167,165,838,4330
NSW,Bardia,117,14,270,104,160,337,3,32,26,84,451,1605
NSW,Bardwell Park,115,37,338,235,215,536,3,151,92,99,416,2235
NSW,Bardwell Valley,93,46,317,209,210,612,0,172,102,136,435,2326
NSW,Barellan,0,4,20,21,70,159,0,64,17,76,106,540
NSW,Bargo,49,36,215,317,868,1161,0,384,138,312,921,4393
NSW,Barham,12,12,80,88,215,425,0,216,36,221,212,1516
NSW,Barigan,0,0,0,3,0,3,0,0,0,0,0,5
NSW,Barkers Vale,5,0,23,15,24,41,0,6,0,13,38,164
NSW,Barmedman,0,0,18,24,54,121,0,53,4,66,108,457
NSW,Barneys Reef,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Barnsley,8,8,51,102,409,512,3,159,45,92,355,1752
NSW,Barooga,8,11,118,115,286,507,0,175,42,223,328,1816
NSW,Barraba,5,14,69,53,198,371,0,257,33,216,198,1410
NSW,Barrack Heights,48,45,248,358,1043,1636,11,665,196,523,1134,5904
NSW,Barrack Point,11,7,66,58,135,138,0,56,17,75,126,691
NSW,Barraganyatti,0,3,13,8,23,37,0,13,5,14,16,133
NSW,Barragga Bay,6,4,12,8,16,21,0,4,5,11,10,95
NSW,Barratta (NSW),0,0,0,0,0,0,0,0,0,0,0,5
NSW,Barren Grounds,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Barrengarry,3,0,24,10,23,38,0,12,4,36,38,196
NSW,Barretts Creek,0,0,0,0,3,3,0,0,0,0,4,10
NSW,Barringella,0,0,0,6,3,3,0,0,0,0,6,25
NSW,Barrington (NSW),0,6,38,25,60,98,0,37,13,41,44,358
NSW,Barrington Tops,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Barry (Blayney - NSW),0,7,7,9,26,51,0,11,6,17,34,167
NSW,Barry (Upper Hunter Shire - NSW),0,0,0,0,0,3,0,0,0,3,0,4
NSW,Barwang,0,0,13,13,8,12,0,5,3,12,17,83
NSW,Barwon,0,0,0,0,5,9,0,8,0,0,8,31
NSW,Baryulgil,0,0,4,0,4,16,0,29,3,16,17,92
NSW,Basin View,8,12,74,114,299,379,5,168,50,158,288,1552
NSW,Bass Hill,171,54,672,586,934,2748,9,852,411,570,2068,9067
NSW,Bassendean (NSW),0,0,0,0,0,0,0,0,0,0,0,0
NSW,Batar Creek,3,0,16,6,7,12,0,3,3,17,13,81
NSW,Bateau Bay,188,115,1023,865,2020,3201,13,1025,372,1151,2174,12149
NSW,Batehaven,21,21,109,103,289,495,0,185,55,271,227,1780
NSW,Batemans Bay,9,14,53,69,211,442,0,197,47,293,197,1530
NSW,Bathampton,4,0,3,7,3,7,0,0,0,0,6,37
NSW,Bathurst,258,123,856,463,949,1931,9,514,195,732,898,6930
NSW,Batlow,12,13,92,80,193,363,0,160,31,180,194,1312
NSW,Baulkham Hills,2899,651,6491,3262,3590,7871,4,1480,1169,1619,8015,37053
NSW,Baw Baw (NSW),12,3,24,28,53,52,0,15,8,27,40,258
NSW,Bawley Point,26,18,80,57,138,157,0,47,23,47,102,700
NSW,Baxters Ridge,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Bayview (NSW),194,48,593,385,333,916,0,135,148,380,488,3620
NSW,Beacon Hill,337,118,1160,672,855,1680,0,373,271,417,1570,7456
NSW,Beaconsfield (NSW),88,30,248,90,71,220,0,25,15,71,122,991
NSW,Bean Creek,0,0,7,3,8,18,0,17,0,14,13,79
NSW,Bearbong,0,0,5,3,10,17,0,3,0,5,5,59
NSW,Beaumont (NSW),8,5,26,11,11,20,0,3,3,28,15,127
NSW,Beaumont Hills,508,142,1581,795,786,2021,0,340,241,326,2304,9038
NSW,Beckom,0,4,9,4,15,32,0,8,3,18,34,129
NSW,Bective,0,3,20,17,38,59,0,12,8,16,29,210
NSW,Bectric,0,0,4,3,10,14,0,4,0,12,9,57
NSW,Bedgerabong,0,0,6,10,20,37,0,14,5,17,37,149
NSW,Beechwood,0,7,43,35,112,148,0,70,14,50,138,611
NSW,Beecroft,1089,238,2152,733,498,1796,6,278,268,524,1813,9395
NSW,Beecroft Peninsula,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Beelbangera,3,0,22,17,82,111,0,48,12,42,75,406
NSW,Beemunnel,0,0,0,0,0,4,0,5,0,0,4,10
NSW,Bega,60,50,298,260,710,1253,8,521,88,509,913,4666
NSW,Beggan Beggan,0,0,14,12,15,15,0,3,4,7,30,99
NSW,Belanglo,0,0,4,0,0,10,0,4,0,4,3,21
NSW,Belbora,3,0,11,11,18,26,0,20,0,26,12,121
NSW,Belfield,191,59,758,487,612,1763,0,540,259,372,1270,6317
NSW,Belford,3,0,18,15,40,40,0,14,7,18,31,171
NSW,Belfrayden,0,0,0,6,4,8,0,0,0,5,6,30
NSW,Belgravia,5,4,21,8,24,26,0,4,0,0,30,118
NSW,Belimbla Park,13,4,38,46,129,143,0,31,20,41,120,583
NSW,Bell (NSW),0,0,0,3,14,15,0,4,0,0,4,47
NSW,Bella Vista,678,144,1672,680,565,1868,0,257,248,306,1416,7834
NSW,Bellambi,66,34,256,280,609,1034,7,485,133,366,693,3948
NSW,Bellangry,0,4,3,9,19,35,0,10,0,13,13,94
NSW,Bellata,3,0,22,14,35,105,0,43,0,37,88,348
NSW,Bellawongarah,12,3,20,16,18,24,0,0,6,22,12,124
NSW,Bellbird,12,9,69,104,422,511,0,225,56,173,453,2031
NSW,Bellbird Heights,3,5,48,53,164,208,0,78,21,42,157,788
NSW,Bellbrook,7,3,22,21,38,67,0,44,3,25,48,280
NSW,Bellevue Hill,1099,215,2926,744,427,1988,0,245,264,869,1940,10719
NSW,Bellimbopinni,0,0,6,4,15,29,0,14,0,24,27,118
NSW,Bellingen,129,85,498,317,485,759,4,225,104,319,855,3776
NSW,Bellmount Forest,14,7,13,10,16,14,0,3,3,0,23,117
NSW,Belltrees,3,0,5,3,0,0,0,0,0,3,3,29
NSW,Belmont (NSW),130,65,595,500,1274,1848,12,743,222,617,1120,7114
NSW,Belmont North,91,61,481,432,1224,1581,5,530,192,488,1251,6336
NSW,Belmont South,4,10,54,55,198,331,0,135,33,69,153,1052
NSW,Belmore,456,98,1370,894,1132,3601,8,1190,666,1051,2252,12713
NSW,Belmore River,0,0,14,14,56,64,0,33,3,26,47,269
NSW,Beloka,0,0,3,0,0,9,0,0,0,0,5,18
NSW,Belowra,0,0,0,4,4,0,0,4,0,0,0,8
NSW,Belrose,386,156,1338,878,838,2056,3,421,359,637,1705,8775
NSW,Bemboka,18,10,50,44,91,150,0,46,8,71,103,571
NSW,Ben Bullen,0,0,3,7,20,27,0,4,0,24,19,103
NSW,Ben Lomond (NSW),5,0,14,11,13,43,0,16,8,23,21,147
NSW,Benandarah,0,3,7,3,27,49,0,8,3,42,19,168
NSW,Bendalong,3,0,9,11,19,19,0,3,3,12,15,90
NSW,Bendemeer,8,5,28,27,75,143,0,48,13,67,71,495
NSW,Bendick Murrell,3,0,7,12,28,47,0,13,0,21,29,159
NSW,Bendolba,3,0,8,13,25,59,0,20,0,22,57,205
NSW,Bendoura,0,0,6,5,10,3,0,0,3,6,13,66
NSW,Benerembah,4,0,17,4,11,22,0,3,0,21,47,134
NSW,Bengalla,0,0,0,0,4,10,0,0,0,6,0,25
NSW,Bennetts Green,0,0,0,0,3,4,0,0,0,0,0,10
NSW,Benolong,0,0,0,0,9,7,0,5,4,0,12,48
NSW,Bensville,58,48,266,231,457,614,0,130,80,107,555,2544
NSW,Bentley (NSW),4,0,13,14,35,56,0,21,3,20,33,202
NSW,Berala,282,66,1168,591,653,2758,12,861,574,486,1599,9050
NSW,Berambing,6,3,17,7,22,18,0,0,3,9,21,104
NSW,Beresfield,30,12,121,151,583,990,5,414,89,235,556,3182
NSW,Bergalia,9,3,23,14,36,37,0,6,3,12,30,169
NSW,Berkeley,93,41,345,427,1195,2152,8,959,231,719,1447,7608
NSW,Berkeley Vale,90,78,536,615,1639,2197,8,649,238,584,1720,8353
NSW,Berkshire Park,13,0,45,58,219,325,4,136,25,1073,234,2138
NSW,Berlang,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Bermagui,42,35,131,119,257,373,4,132,63,161,220,1536
NSW,Berowra,256,101,783,428,559,1041,0,163,167,194,1027,4722
NSW,Berowra Creek,0,0,3,0,3,3,0,6,0,0,6,16
NSW,Berowra Heights,250,123,794,505,729,1055,3,209,166,192,1227,5262
NSW,Berowra Waters,5,0,9,14,8,6,0,8,0,60,9,120
NSW,Berrambool,3,8,34,25,85,130,0,40,13,50,62,458
NSW,Berrara,4,5,24,29,74,69,0,19,18,29,37,300
NSW,Berremangra,0,0,11,3,14,20,0,3,0,8,13,84
NSW,Berrico,0,0,3,0,0,5,0,0,0,11,9,33
NSW,Berridale,23,27,75,75,253,293,3,87,37,101,228,1193
NSW,Berrigal,0,0,4,0,3,7,0,3,0,9,7,33
NSW,Berrigan,8,11,66,73,197,324,3,148,29,218,191,1263
NSW,Berrilee,9,5,30,27,32,67,0,7,8,9,33,227
NSW,Berrima,44,8,111,53,86,145,0,20,23,72,106,672
NSW,Berringer Lake,3,0,0,0,3,9,0,0,0,7,4,28
NSW,Berry,111,54,358,274,333,594,3,177,100,276,391,2666
NSW,Berry Jerry,0,0,6,3,3,22,0,6,0,15,17,77
NSW,Berry Mountain,3,0,4,4,3,0,0,0,0,4,0,23
NSW,Berry Park,5,4,17,8,31,36,0,5,3,12,20,127
NSW,Berthong,0,0,3,5,6,8,0,0,0,7,7,45
NSW,Beryl,0,0,10,3,18,29,0,16,0,17,32,130
NSW,Bethungra,0,0,13,11,27,47,3,20,3,19,19,162
NSW,Bevendale,0,0,8,3,10,3,0,4,0,4,4,43
NSW,Beverley Park,94,28,352,206,233,592,0,173,94,156,467,2397
NSW,Beverly Hills,479,118,1491,764,901,2850,0,750,440,658,1694,10154
NSW,Bewong,4,0,0,7,20,25,0,5,0,7,15,78
NSW,Bexhill,15,13,52,52,68,110,0,28,12,40,102,497
NSW,Bexley,863,176,2498,1461,1721,5142,3,1357,770,2163,3581,19729
NSW,Bexley North,171,50,614,329,357,1037,0,339,179,277,746,4093
NSW,Biala,5,0,3,4,11,15,0,3,3,3,12,57
NSW,Bibbenluke,0,0,13,3,4,17,0,8,0,19,12,86
NSW,Biddon,0,0,12,5,9,25,0,15,0,6,17,97
NSW,Bidgeemia,0,0,3,3,4,7,0,0,0,0,7,30
NSW,Bidwill (NSW),22,4,92,134,309,1283,15,566,121,579,1162,4280
NSW,Bielsdown Hills,0,0,12,10,14,26,0,13,4,13,12,104
NSW,Big Hill (NSW),0,0,4,0,14,7,0,7,3,3,7,48
NSW,Big Jacks Creek,0,0,9,0,10,10,0,9,4,5,10,53
NSW,Big Ridge,0,0,0,0,6,0,0,0,0,4,0,11
NSW,Big Springs,0,4,13,9,15,33,0,5,4,4,23,119
NSW,Bigga,5,0,14,6,27,70,0,30,6,54,36,243
NSW,Bilambil,10,3,30,29,73,114,0,28,14,36,73,418
NSW,Bilambil Heights,61,42,301,277,613,910,0,163,89,268,634,3365
NSW,Bilbul,4,4,26,17,101,151,4,55,14,56,137,556
NSW,Bilgola Beach,28,4,47,29,17,55,0,0,6,9,36,244
NSW,Bilgola Plateau,201,95,627,380,392,695,0,92,112,148,783,3516
NSW,Billeroy,0,0,4,3,4,7,0,3,0,0,7,42
NSW,Billilingra,0,0,0,0,0,4,0,0,0,5,5,9
NSW,Billimari,0,6,13,0,15,29,0,23,5,30,29,152
NSW,Billinudgel,4,3,13,16,22,68,0,15,9,31,38,215
NSW,Billys Creek,0,5,3,4,15,18,0,4,0,5,6,56
NSW,Billywillinga,9,3,14,18,32,42,0,11,6,19,44,194
NSW,Bilpin,14,8,51,56,130,155,0,28,27,73,123,666
NSW,Bimberi,0,0,0,0,0,0,0,0,0,0,0,0
NSW,Bimbi,0,0,12,6,12,24,0,8,3,24,26,116
NSW,Bimbimbie,0,3,3,5,26,28,0,7,5,13,23,120
NSW,Binalong,14,11,48,35,73,152,3,43,15,46,109,543
NSW,Binda,12,0,11,22,25,70,0,29,6,46,58,281
NSW,Bindera,3,0,4,6,0,3,0,3,3,16,0,30
NSW,Bingara,9,11,70,66,197,384,4,234,43,241,175,1427
NSW,Bingeebeebra Creek,0,0,0,0,9,5,0,5,0,7,7,34
NSW,Bingie,16,5,30,22,37,39,0,8,6,18,14,199
NSW,Bingleburra,0,0,6,0,3,6,0,5,0,0,3,26
NSW,Biniguy,0,0,16,0,17,42,0,15,0,24,29,148
NSW,Binjura,15,3,43,16,45,78,0,16,8,21,70,322
NSW,Binna Burra (NSW),9,0,27,21,34,42,0,16,5,32,40,218
NSW,Binnaway,7,4,14,29,56,219,0,105,11,95,65,605
NSW,Binya,0,0,16,7,8,32,0,13,3,6,48,140
NSW,Birchgrove,462,102,903,229,117,460,0,64,59,252,632,3302
NSW,Birdwood (NSW),3,0,0,0,10,9,0,9,0,7,7,43
NSW,Birganbigil,0,0,3,0,4,19,0,0,0,5,14,51
NSW,Birmingham Gardens,105,17,267,133,304,802,0,177,54,176,343,2374
NSW,Birriwa,0,0,0,4,6,12,0,7,0,17,8,54
NSW,Birrong,74,26,310,204,277,983,3,255,149,218,615,3104
NSW,Bishops Bridge,0,3,22,19,55,41,0,13,5,47,39,249
NSW,Bithramere,4,0,14,15,29,44,3,11,9,24,20,174
NSW,Black Creek (Port Macquarie-Hastings - NSW),0,0,6,3,9,15,0,3,0,3,12,50
NSW,Black Creek (Snowy Valleys - NSW),0,0,0,0,0,3,0,0,0,3,6,21
NSW,Black Head,20,16,105,95,153,207,4,61,39,80,75,853
