Postcode,State,No motor vehicles,One motor vehicle,Two motor vehicles,Three motor vehicles,Four or more motor vehicles,Not stated,Not applicable,Total
2000,NSW,6503,4125,742,89,38,1183,3948,16628
2007,NSW,1333,1182,222,23,6,362,617,3742
2008,NSW,2489,1650,317,59,23,426,995,5965
2009,NSW,1612,2974,848,97,26,459,933,6961
2010,NSW,6241,5654,1064,140,58,977,2548,16684
2011,NSW,5040,4172,754,86,52,743,2632,13485
2015,NSW,1170,2969,884,161,55,296,610,6152
2016,NSW,2320,2665,668,104,51,557,946,7316
2017,NSW,4879,7243,1644,171,57,1125,2464,17581
2018,NSW,1555,4116,1822,411,163,517,977,9566
2019,NSW,358,2072,1872,417,203,302,482,5704
2020,NSW,1637,4045,1836,376,153,509,1062,9617
2021,NSW,1409,3551,1317,218,88,265,1138,7986
2022,NSW,1417,2860,1033,165,52,415,795,6736
2023,NSW,397,1725,1386,360,170,173,472,4678
2024,NSW,537,2031,1225,256,102,242,446,4839
2025,NSW,518,1539,781,100,46,122,548,3653
2026,NSW,2881,6698,3121,619,214,899,2142,16581
2027,NSW,586,1811,924,163,85,238,890,4710
2028,NSW,391,1081,535,78,29,104,406,2621
2029,NSW,479,1865,1253,267,115,214,517,4713
2030,NSW,299,1613,1978,571,400,219,530,5612
2031,NSW,2247,7178,3349,582,214,585,1761,15923
2032,NSW,1351,2517,1243,307,120,318,626,6475
2033,NSW,815,2194,1031,205,106,230,965,5542
2034,NSW,1327,3978,2196,538,181,492,1124,9836
2035,NSW,1956,5832,3948,971,463,712,1146,15025
2036,NSW,1374,4931,3925,1129,534,770,1149,13817
2037,NSW,2386,3738,1109,182,59,473,1274,9224
2038,NSW,518,2011,995,200,69,191,472,4458
2039,NSW,409,2064,967,124,35,114,430,4141
2040,NSW,1205,4526,2530,450,143,375,962,10181
2041,NSW,906,3529,1749,283,90,267,884,7711
2042,NSW,2462,4158,1220,212,81,415,1066,9623
2043,NSW,1142,2687,594,68,23,189,497,5210
2044,NSW,482,1717,754,150,62,116,318,3604
2045,NSW,206,755,842,271,149,53,115,2393
2046,NSW,957,4486,3772,917,451,396,897,11883
2047,NSW,438,2362,1606,353,135,203,607,5713
2048,NSW,590,1600,725,141,57,111,376,3606
2049,NSW,1056,2722,1041,196,64,258,689,6026
2050,NSW,1140,2203,603,71,29,248,640,4930
2060,NSW,1818,4020,1171,161,70,359,1361,8950
2061,NSW,952,1648,492,54,24,278,860,4308
2062,NSW,262,1741,849,146,36,83,379,3503
2063,NSW,91,750,918,263,114,57,142,2338
2064,NSW,550,2056,849,124,35,148,325,4097
2065,NSW,2567,8047,2971,486,175,484,1627,16369
2066,NSW,1099,6194,4348,922,415,410,1098,14484
2067,NSW,2111,5189,2060,457,171,411,1294,11691
2068,NSW,375,2467,2320,575,214,134,445,6521
2069,NSW,244,1805,1926,587,276,121,346,5307
2070,NSW,325,1969,1968,523,216,126,481,5601
2071,NSW,214,1692,1898,515,248,108,451,5122
2072,NSW,218,1553,1081,228,109,102,341,3620
2073,NSW,188,1695,2565,794,343,121,373,6081
2074,NSW,357,2882,3308,999,455,153,602,8751
2075,NSW,194,2388,3317,889,482,127,425,7823
2076,NSW,365,2800,3487,1051,492,200,528,8919
2077,NSW,2023,8261,4324,914,447,554,1137,17665
2079,NSW,95,904,1101,368,188,57,101,2820
2080,NSW,16,174,252,86,49,13,31,620
2081,NSW,38,549,740,282,162,20,59,1851
2082,NSW,47,550,798,276,162,29,115,1982
2083,NSW,77,268,234,78,36,47,208,947
2084,NSW,18,254,490,231,206,32,69,1302
2085,NSW,112,1044,1667,591,334,69,195,4015
2086,NSW,118,1124,2006,734,417,69,136,4599
2087,NSW,231,1323,1842,559,332,114,197,4596
2088,NSW,1309,5458,3571,821,373,378,1488,13410
2089,NSW,887,3085,1176,174,60,179,896,6461
2090,NSW,812,3426,1559,254,99,207,831,7204
2092,NSW,58,646,1059,323,170,63,130,2459
2093,NSW,534,3481,3200,804,354,215,505,9095
2094,NSW,167,1206,810,161,72,77,219,2705
2095,NSW,1160,3594,1729,346,144,313,1387,8677
2096,NSW,353,2516,2183,491,266,177,514,6509
2097,NSW,214,1714,2247,746,468,182,323,5894
2099,NSW,1630,7025,5247,1447,819,665,1158,17992
2100,NSW,435,2342,2874,961,557,231,343,7739
2101,NSW,466,2653,2759,837,604,300,486,8097
2102,NSW,54,875,1224,361,186,97,137,2941
2103,NSW,194,1338,1611,509,298,188,281,4421
2104,NSW,120,517,551,198,143,83,166,1778
2105,NSW,78,243,282,102,47,38,151,947
2106,NSW,106,1141,1556,469,326,112,287,3996
2107,NSW,127,1432,2447,875,462,154,522,6020
2108,NSW,16,236,359,103,56,27,533,1339
2110,NSW,217,1006,1288,429,264,130,341,3669
2111,NSW,572,2686,2066,527,288,206,558,6905
2112,NSW,1449,6785,4285,1188,585,577,1370,16237
2113,NSW,1919,5190,2576,628,277,522,1448,12554
2114,NSW,1234,4862,2753,615,305,349,935,11058
2115,NSW,370,1519,1628,476,243,242,320,4796
2116,NSW,260,942,907,263,125,156,182,2836
2117,NSW,680,2728,2795,832,431,421,707,8595
2118,NSW,461,3386,3712,1020,416,274,823,10085
2119,NSW,139,1338,1770,548,260,103,194,4352
2120,NSW,339,2580,2959,829,377,152,352,7584
2121,NSW,1151,5495,3805,955,393,350,963,13106
2122,NSW,1369,5121,3498,828,361,483,922,12584
2125,NSW,130,1251,2433,912,508,97,182,5520
2126,NSW,142,1843,2751,784,387,105,202,6215
2127,NSW,1054,6089,2502,317,77,482,1611,12132
2128,NSW,37,336,270,84,50,55,95,932
2130,NSW,621,1746,595,106,45,86,396,3603
