Postcode,State,No motor vehicles,One motor vehicle,Two motor vehicles,Three motor vehicles,Four or more motor vehicles,Not stated,Not applicable,Total
2131,NSW,2114,4871,1670,348,159,424,1152,10733
2132,NSW,436,1699,1118,296,125,126,244,4047
2133,NSW,427,1603,1304,412,204,143,292,4390
2134,NSW,2081,3107,1059,229,123,484,796,7874
2135,NSW,1779,3234,2149,806,481,544,959,9961
2136,NSW,291,1126,907,261,119,156,178,3033
2137,NSW,781,4184,3806,967,486,361,910,11497
2138,NSW,1158,4314,1758,359,165,356,834,8949
2140,NSW,1166,4287,1658,265,118,558,1054,9116
2141,NSW,1406,4667,3047,882,387,639,1092,12133
2142,NSW,1554,4119,2161,624,368,968,1355,11151
2143,NSW,305,1133,964,327,201,185,225,3334
2144,NSW,1943,4517,2640,930,563,1166,1161,12933
2145,NSW,2682,12619,8929,2534,1376,1959,2695,32793
2146,NSW,512,2543,2226,671,331,375,392,7052
2147,NSW,1106,4424,4668,1538,830,772,722,14069
2148,NSW,2016,8882,7297,2348,1194,1559,1574,24867
2150,NSW,3540,7572,1865,294,142,1087,2033,16527
2151,NSW,810,3282,2562,665,317,441,675,8742
2152,NSW,379,1867,1539,382,157,157,423,4901
2153,NSW,716,6933,8822,2586,1432,517,1233,22233
2154,NSW,645,4314,5378,1805,1027,343,851,14362
2155,NSW,466,6416,10210,3406,1934,636,1045,24120
2156,NSW,83,832,1564,757,947,97,189,4473
2157,NSW,15,190,413,253,325,39,91,1324
2158,NSW,80,685,1048,457,521,103,172,3061
2159,NSW,45,345,567,324,357,68,88,1809
2160,NSW,1586,4806,3592,1126,737,1395,1198,14439
2161,NSW,1282,3548,2904,1090,732,1073,921,11563
2162,NSW,613,2021,1898,772,392,590,406,6682
2163,NSW,552,1243,810,290,185,385,323,3795
2164,NSW,595,2165,2214,907,526,358,357,7131
2165,NSW,1849,4993,3922,1477,818,1069,930,15055
2166,NSW,2141,5947,4459,1843,1091,1148,1094,17726
2167,NSW,232,1251,1228,350,138,142,150,3498
2168,NSW,1390,3930,4156,1938,1247,1102,801,14565
2170,NSW,3809,13277,11868,4250,2377,2929,2990,41499
2171,NSW,204,2046,4426,2122,1420,411,256,10885
2172,NSW,5,153,405,176,145,15,21,908
2173,NSW,111,1252,1947,655,351,117,135,4572
2174,NSW,106,1066,1497,455,194,209,268,3797
2175,NSW,20,98,141,95,154,33,58,603
2176,NSW,756,4084,5183,2546,1663,639,471,15346
2177,NSW,305,1478,1675,793,539,284,219,5283
2178,NSW,25,190,331,221,348,80,61,1253
2179,NSW,131,1468,2172,617,405,284,315,5390
2190,NSW,689,2324,2571,1081,686,658,553,8565
2191,NSW,219,769,796,235,137,119,136,2411
2192,NSW,677,2149,1267,379,212,470,468,5621
2193,NSW,836,3220,1889,456,229,325,626,7592
2194,NSW,1743,4358,2058,460,207,917,935,10681
2195,NSW,1172,4001,1838,482,321,848,854,9514
2196,NSW,974,3714,3171,1238,756,769,858,11473
2197,NSW,205,848,1006,393,246,275,204,3184
2198,NSW,105,806,1097,433,266,213,107,3038
2199,NSW,574,1996,1884,713,424,495,386,6466
2200,NSW,1762,6023,4250,1385,846,1326,1412,17001
2203,NSW,1031,3317,1294,223,102,293,645,6904
2204,NSW,2049,5433,2343,511,197,516,1103,12141
2205,NSW,1918,4973,1827,454,235,740,1128,11275
2206,NSW,610,2476,2297,771,468,250,447,7327
2207,NSW,850,3676,3184,1002,554,433,675,10372
2208,NSW,424,1605,1477,503,244,171,271,4694
2209,NSW,659,2216,1720,546,292,273,366,6072
2210,NSW,1513,4280,3730,1308,704,692,772,12999
2211,NSW,558,2169,2132,761,362,251,337,6574
2212,NSW,510,1998,1973,691,358,250,339,6119
2213,NSW,568,2613,3009,991,596,290,414,8491
2214,NSW,31,337,577,238,140,39,42,1405
2216,NSW,1699,5110,2544,669,333,747,1139,12234
2217,NSW,1554,5079,2805,707,420,589,1148,12303
2218,NSW,789,2814,1590,440,162,295,486,6579
2219,NSW,419,2205,1854,517,314,334,402,6041
2220,NSW,2276,5111,2621,809,344,585,1105,12848
2221,NSW,345,1709,2095,786,512,199,369,6017
2222,NSW,662,2115,1323,313,141,261,310,5115
2223,NSW,680,3166,2669,751,373,259,507,8403
2224,NSW,249,1591,2093,733,430,207,417,5719
2225,NSW,46,386,859,291,158,28,62,1832
2226,NSW,282,1620,1830,472,292,163,224,4888
2227,NSW,308,1922,2148,666,431,125,273,5874
2228,NSW,700,3242,2850,731,381,378,582,8867
2229,NSW,763,3925,4476,1326,861,418,761,12521
2230,NSW,836,5097,4653,1284,730,510,1461,14568
2231,NSW,15,184,326,163,99,29,38,861
2232,NSW,989,5488,4896,1347,748,433,964,14856
2233,NSW,374,2785,4417,1489,988,182,368,10607
2234,NSW,190,1975,4450,1798,1337,166,278,10189
2250,NSW,2096,10585,9304,2984,1893,1403,1976,30236
2251,NSW,628,4415,4951,1762,935,457,1835,14979
2256,NSW,869,3164,1950,567,248,402,1026,8220
2257,NSW,1021,5371,4235,1170,575,729,1910,15008
2258,NSW,38,519,739,286,238,79,99,1995
2259,NSW,1022,8123,8773,3227,2197,1348,1686,26375
2260,NSW,255,2851,3986,1294,838,421,1323,10968
2261,NSW,1429,7862,7819,2481,1465,1133,3219,25404
2262,NSW,363,3115,2974,1017,528,445,650,9097
2263,NSW,868,4341,3204,987,544,656,943,11541
2264,NSW,282,2317,2308,835,523,266,729,7262
2265,NSW,109,848,987,395,296,86,188,2906
2267,NSW,52,424,485,165,82,54,164,1421
2278,NSW,19,182,344,182,161,14,31,924
2280,NSW,621,3445,4115,1403,866,384,598,11432
2281,NSW,366,2154,2417,727,428,246,891,7226
2282,NSW,203,2052,2578,854,503,136,298,6624
2283,NSW,490,3185,3617,1330,766,408,689,10490
2284,NSW,244,1617,1862,659,354,230,291,5264
2285,NSW,597,3807,5133,1736,951,387,501,13118
2286,NSW,44,506,677,274,191,61,63,1817
2287,NSW,806,4936,6053,1893,1057,505,738,15986
2289,NSW,402,2404,3217,922,494,199,409,8040
2290,NSW,782,4584,5383,1604,863,468,699,14381
2291,NSW,336,1834,2265,670,370,161,471,6111
2292,NSW,92,454,383,120,40,51,117,1248
2293,NSW,96,711,556,102,45,48,196,1752
2294,NSW,77,365,337,73,18,37,85,991
2295,NSW,228,1321,1196,333,171,183,241,3668
2296,NSW,89,420,300,74,28,29,101,1036
2297,NSW,45,245,281,80,39,29,50,760
2298,NSW,370,1563,1404,401,174,195,313,4412
2299,NSW,470,1747,1573,473,213,289,310,5071
2300,NSW,743,2829,1689,355,143,327,1260,7342
2302,NSW,103,491,146,15,3,30,197,990
2303,NSW,594,1495,1290,364,194,347,435,4718
2304,NSW,637,2572,2361,585,224,287,520,7182
2305,NSW,310,1845,1995,554,289,156,304,5449
2306,NSW,268,620,277,71,42,198,82,1562
2307,NSW,127,759,690,182,93,92,116,2060
2308,NSW,0,0,0,0,0,0,6,6
2311,NSW,11,103,142,70,41,11,65,449
2312,NSW,11,151,220,89,77,26,66,632
2315,NSW,304,2654,2489,641,295,265,3008,9653
2316,NSW,58,1003,999,324,213,153,418,3167
2317,NSW,166,1271,989,250,149,138,677,3642
2318,NSW,70,1188,1918,853,615,174,297,5114
2319,NSW,95,1050,1106,338,196,126,301,3211
2320,NSW,646,4239,5469,2137,1347,508,1010,15366
2321,NSW,124,1814,3110,1160,734,246,421,7613
2322,NSW,303,2561,3738,1242,763,304,420,9335
2323,NSW,654,3426,3748,1344,771,444,564,10956
2324,NSW,494,3766,3603,1256,762,628,1708,12205
2325,NSW,585,3762,3966,1544,987,604,1239,12689
2326,NSW,116,880,982,461,343,143,134,3055
2327,NSW,198,1136,1086,380,237,168,179,3401
2328,NSW,45,325,343,156,102,65,122,1154
2329,NSW,32,255,284,133,73,90,200,1068
2330,NSW,306,2162,3079,1275,816,478,733,8845
2331,NSW,0,0,0,0,0,0,0,5
2333,NSW,309,1883,1891,663,380,364,717,6206
2334,NSW,33,315,459,210,148,35,89,1283
2335,NSW,47,656,1157,549,351,125,222,3106
2336,NSW,43,320,399,169,92,68,114,1202
2337,NSW,147,1066,1210,440,257,168,442,3720
2338,NSW,29,226,192,110,41,58,154,809
2339,NSW,3,60,99,55,45,59,56,376
2340,NSW,1260,6970,7267,2414,1456,1496,1772,22631
2341,NSW,52,259,186,71,37,57,66,730
2342,NSW,0,38,61,34,25,18,41,221
2343,NSW,103,568,689,260,178,247,308,2342
2344,NSW,0,53,100,63,42,14,30,297
2345,NSW,6,76,110,48,33,15,28,316
2346,NSW,65,436,419,158,109,124,189,1501
2347,NSW,50,315,260,112,63,86,202,1086
2350,NSW,739,3918,3472,1143,577,669,1252,11766
2352,NSW,23,345,429,173,117,53,88,1229
2353,NSW,10,130,142,79,70,34,22,484
2354,NSW,57,383,543,214,166,147,362,1871
2355,NSW,7,74,103,43,28,29,84,368
2356,NSW,6,10,14,6,6,14,11,65
2357,NSW,87,561,522,205,117,260,260,2016
2358,NSW,73,496,550,211,141,105,205,1785
2359,NSW,5,67,90,48,25,36,47,318
2360,NSW,365,1952,1980,766,441,612,593,6711
2361,NSW,14,128,133,56,40,48,82,505
2365,NSW,48,440,511,215,135,209,277,1832
2369,NSW,23,113,116,43,34,34,34,382
2370,NSW,222,1229,1028,398,245,325,455,3906
2371,NSW,28,203,181,71,30,51,174,740
2372,NSW,124,802,711,278,156,198,449,2723
2379,NSW,0,19,29,30,21,11,44,154
2380,NSW,226,1400,1535,563,327,423,503,4969
2381,NSW,10,150,171,81,49,62,111,628
2382,NSW,13,188,194,72,60,90,119,733
2386,NSW,0,22,33,25,22,22,38,160
2387,NSW,0,24,27,8,12,14,26,102
2388,NSW,53,299,333,140,65,163,169,1222
2390,NSW,174,1028,1174,476,297,315,444,3914
2395,NSW,12,100,109,41,28,50,96,441
2396,NSW,12,118,104,40,28,58,30,392
2397,NSW,4,27,44,15,15,17,40,157
2398,NSW,0,13,18,14,16,30,6,97
2399,NSW,0,63,76,31,19,57,29,278
2400,NSW,263,1210,1139,396,253,795,657,4721
2401,NSW,0,29,42,25,16,3,0,114
2402,NSW,27,264,237,95,58,56,95,829
2403,NSW,4,74,84,39,30,48,38,323
2404,NSW,37,284,257,93,57,55,161,938
2405,NSW,10,40,51,23,21,84,69,297
2408,NSW,0,17,31,21,22,31,43,169
2409,NSW,48,92,76,29,17,115,60,436
2410,NSW,3,31,32,18,5,20,35,140
2411,NSW,0,12,11,5,4,5,12,51
2415,NSW,3,36,49,34,24,21,26,199
2420,NSW,55,551,610,224,173,94,227,1933
2421,NSW,9,131,301,158,129,40,62,824
2422,NSW,86,899,897,301,190,169,433,2971
2423,NSW,33,438,529,199,126,136,328,1796
2424,NSW,6,51,70,26,19,28,38,239
2425,NSW,20,203,282,122,87,84,134,928
2426,NSW,3,96,123,47,32,22,35,366
2427,NSW,61,777,616,154,54,70,330,2058
2428,NSW,711,5403,3677,1031,443,682,3327,15282
2429,NSW,147,1267,1459,532,348,276,373,4408
2430,NSW,879,5665,5134,1718,940,1153,1461,16948
2431,NSW,95,1177,936,259,107,164,649,3382
2439,NSW,26,469,603,227,164,149,134,1775
2440,NSW,480,2926,2886,1180,694,771,964,9900
2441,NSW,44,490,620,254,193,135,266,1997
2443,NSW,212,1673,1326,390,208,403,538,4752
2444,NSW,1429,9019,7395,2126,963,1004,2161,24093
2445,NSW,61,1034,1232,371,232,81,263,3269
2446,NSW,196,1655,2110,867,571,300,311,6022
2447,NSW,136,1103,1156,398,244,231,354,3627
2448,NSW,311,2062,1263,370,180,407,449,5046
2449,NSW,47,299,303,111,49,100,96,992
2450,NSW,1098,6546,6543,2213,1277,1236,1693,20596
2452,NSW,327,2626,2229,647,289,323,484,6921
2453,NSW,56,450,427,180,83,102,265,1561
2454,NSW,68,1076,1203,394,225,229,358,3556
2455,NSW,76,615,503,146,83,116,133,1677
2456,NSW,233,2390,2534,822,482,378,683,7514
2460,NSW,643,4285,4197,1551,823,860,1079,13442
2462,NSW,33,402,387,173,80,71,379,1533
2463,NSW,121,1120,1374,404,235,209,377,3839
2464,NSW,152,1595,1172,278,79,206,972,4452
2465,NSW,8,48,39,22,17,11,15,158
2466,NSW,53,493,320,75,27,60,311,1330
2469,NSW,58,669,612,232,145,245,306,2260
2470,NSW,356,2165,2008,759,437,552,427,6705
2471,NSW,27,252,354,173,102,116,79,1099
2472,NSW,13,251,279,127,65,90,67,892
2473,NSW,87,712,513,145,52,126,300,1939
2474,NSW,100,1051,955,335,180,239,371,3232
2475,NSW,8,77,51,14,15,19,37,222
2476,NSW,12,134,120,48,30,54,109,512
2477,NSW,188,1663,1993,725,394,229,313,5510
2478,NSW,717,5076,4920,1394,737,859,1099,14802
2479,NSW,16,501,846,334,213,226,236,2373
2480,NSW,945,6577,6570,2323,1242,1382,1436,20476
2481,NSW,223,1914,1812,627,398,526,1401,6902
2482,NSW,89,897,919,325,206,353,272,3064
2483,NSW,123,1575,1784,609,315,441,619,5471
2484,NSW,327,2479,2819,981,632,733,680,8651
2485,NSW,710,3347,2014,512,235,641,902,8374
2486,NSW,776,5127,4625,1520,804,706,803,14371
2487,NSW,294,2376,2274,639,323,326,970,7193
2488,NSW,58,461,549,130,72,86,203,1557
2489,NSW,81,1133,1290,308,119,148,312,3396
2490,NSW,3,50,101,53,29,15,13,269
2500,NSW,2160,8005,5370,1454,762,996,1999,20748
2502,NSW,625,1796,1381,503,280,301,461,5348
2505,NSW,273,754,648,218,101,123,180,2295
2506,NSW,320,1020,921,362,205,200,129,3152
2508,NSW,72,767,1414,488,323,78,176,3331
2515,NSW,154,1369,1758,572,305,129,432,4716
2516,NSW,132,701,1005,326,186,81,101,2537
2517,NSW,378,1853,2007,615,346,178,290,5660
2518,NSW,852,3100,2787,807,452,384,466,8846
2519,NSW,567,2376,2356,767,480,322,359,7228
2525,NSW,183,1243,1843,604,391,105,153,4542
2526,NSW,326,1661,2355,890,541,229,220,6212
2527,NSW,313,2493,3792,1395,956,288,352,9591
2528,NSW,870,3800,3093,958,598,648,670,10640
2529,NSW,381,3118,4173,1574,993,379,523,11142
2530,NSW,656,3940,5010,1811,1103,451,456,13419
2533,NSW,234,2099,2781,870,532,262,984,7760
2534,NSW,81,677,917,274,196,85,723,2955
2535,NSW,123,1289,1288,420,250,191,572,4132
2536,NSW,402,3344,2978,881,459,573,3304,11939
2537,NSW,193,2029,2119,682,397,448,1977,7850
2538,NSW,34,268,389,151,96,80,143,1147
2539,NSW,319,3565,3329,953,482,521,3641,12811
2541,NSW,829,4368,3776,1179,555,824,812,12342
2545,NSW,8,131,186,76,49,53,146,644
2546,NSW,203,1857,1661,462,194,344,1396,6126
2548,NSW,158,1650,1402,375,151,192,988,4928
2549,NSW,26,551,648,240,133,76,307,1979
2550,NSW,253,2217,2711,1015,528,487,939,8152
2551,NSW,108,618,558,171,76,126,329,1987
2555,NSW,0,18,7,13,7,5,9,68
2556,NSW,7,128,193,136,213,64,53,791
2557,NSW,115,1387,2931,889,633,225,247,6429
2558,NSW,133,1059,1426,564,333,149,116,3781
2559,NSW,146,331,220,65,33,134,101,1042
2560,NSW,2314,10523,9621,3296,1792,1743,1587,30869
2563,NSW,4,20,29,11,11,6,9,99
2564,NSW,539,1981,1465,400,176,380,221,5156
2565,NSW,606,3624,3797,1090,623,483,474,10696
2566,NSW,499,2911,3256,1142,714,457,323,9299
2567,NSW,252,2876,5399,2342,1630,355,314,13170
2568,NSW,21,136,101,63,70,27,20,444
2569,NSW,7,69,142,95,107,20,23,465
2570,NSW,500,5082,9010,3166,2367,760,886,21771
2571,NSW,106,835,1679,814,762,196,254,4642
2572,NSW,71,537,711,308,272,87,120,2105
2573,NSW,102,599,778,310,212,83,123,2213
2574,NSW,47,484,706,357,369,101,99,2164
2575,NSW,196,2032,2561,1004,710,295,504,7308
2576,NSW,221,2278,2233,688,389,212,686,6708
2577,NSW,229,2030,2555,982,651,391,1015,7863
2578,NSW,36,523,446,138,83,32,191,1453
2579,NSW,15,457,696,319,226,153,394,2264
2580,NSW,742,4134,4221,1782,1094,827,2109,14920
2581,NSW,5,185,372,174,139,79,112,1061
2582,NSW,138,1223,1891,910,652,258,453,5523
2583,NSW,67,545,696,318,241,156,485,2510
2584,NSW,4,78,76,30,32,20,54,288
2585,NSW,0,29,27,16,10,15,24,117
2586,NSW,39,338,412,176,125,156,228,1470
2587,NSW,53,417,417,177,125,102,229,1516
2588,NSW,0,34,46,28,13,7,26,155
2590,NSW,252,1162,1010,332,178,211,373,3527
2594,NSW,303,1628,1610,639,381,329,597,5486
2619,NSW,17,638,1428,623,417,59,110,3292
2621,NSW,19,410,978,465,363,96,166,2497
2622,NSW,33,529,702,291,159,160,631,2488
2623,NSW,0,95,91,29,22,12,40,291
2624,NSW,8,16,4,0,0,19,124,172
2625,NSW,17,147,47,12,10,37,342,615
2626,NSW,3,40,70,34,30,19,19,221
2627,NSW,47,689,791,359,291,115,887,3180
2628,NSW,17,262,336,149,110,63,264,1209
2629,NSW,31,102,93,34,20,31,228,541
2630,NSW,226,1338,1259,454,288,239,611,4405
2631,NSW,5,75,90,51,24,31,80,348
2632,NSW,37,253,282,136,62,70,175,1011
2633,NSW,4,59,54,23,7,15,82,240
2640,NSW,1072,5713,5993,1819,912,863,1479,17852
2641,NSW,577,2892,2184,666,356,471,561,7720
2642,NSW,35,386,674,375,298,191,199,2149
2643,NSW,43,403,501,166,88,74,87,1362
2644,NSW,41,306,361,149,105,86,174,1218
2645,NSW,6,48,40,17,26,13,13,160
2646,NSW,163,1118,1020,335,187,221,441,3485
2647,NSW,40,374,409,115,67,93,360,1453
2648,NSW,45,295,334,152,83,237,200,1346
2649,NSW,0,3,6,6,0,0,0,14
2650,NSW,1501,8245,8754,2973,1590,1339,1965,26369
2651,NSW,20,262,379,106,54,49,59,939
2652,NSW,55,385,637,345,250,164,228,2064
2653,NSW,32,311,389,156,83,91,177,1238
2655,NSW,14,130,200,84,65,41,30,553
2656,NSW,36,165,177,85,63,31,62,610
2658,NSW,28,188,204,95,58,48,88,704
2659,NSW,8,91,106,59,47,40,60,403
2660,NSW,19,221,204,91,61,41,79,720
2661,NSW,0,9,37,8,0,0,4,58
2663,NSW,101,605,587,240,134,119,200,1988
2665,NSW,42,238,288,122,110,59,175,1035
2666,NSW,141,768,782,334,210,115,380,2735
2668,NSW,6,61,43,20,23,15,47,221
2669,NSW,22,141,195,123,101,85,278,940
2671,NSW,77,563,592,224,127,178,349,2110
2672,NSW,50,208,193,79,34,77,102,736
2675,NSW,39,196,219,84,45,94,87,772
2678,NSW,0,0,0,0,0,0,0,4
2680,NSW,459,2779,3215,1270,857,797,743,10118
2681,NSW,15,166,246,120,94,47,48,736
2700,NSW,132,669,617,240,155,201,271,2278
2701,NSW,36,262,349,154,106,54,102,1053
2702,NSW,6,108,101,68,26,22,48,375
2703,NSW,3,67,70,34,17,4,8,203
2705,NSW,188,1214,1361,593,378,404,355,4496
2706,NSW,15,150,149,51,39,53,47,504
2707,NSW,21,126,161,70,61,43,64,541
2710,NSW,199,1400,1454,509,265,441,627,4893
2711,NSW,75,449,437,178,115,165,294,1717
2712,NSW,28,190,190,88,48,44,130,715
2713,NSW,40,396,383,137,84,156,142,1336
2714,NSW,33,397,435,155,81,150,198,1455
2715,NSW,39,182,172,73,48,83,177,772
2716,NSW,26,144,129,57,26,51,77,515
2717,NSW,46,112,131,51,39,103,92,579
2720,NSW,183,1157,1182,482,254,284,439,3975
2721,NSW,3,26,19,22,14,5,34,124
2722,NSW,54,414,455,193,119,157,226,1616
2725,NSW,3,36,54,24,20,11,20,178
2726,NSW,3,22,39,18,13,8,29,142
2727,NSW,3,21,33,25,23,31,22,150
2729,NSW,11,200,214,115,84,42,69,734
2730,NSW,20,187,195,77,61,44,71,647
2731,NSW,122,997,1144,380,182,186,448,3462
2732,NSW,53,268,280,115,67,69,211,1062
2733,NSW,12,75,77,26,19,37,62,311
2734,NSW,0,19,79,29,29,15,49,218
2735,NSW,5,26,68,26,27,8,36,189
2736,NSW,7,38,63,20,9,28,25,185
2737,NSW,4,62,106,41,25,60,17,308
2738,NSW,13,126,335,156,84,44,110,868
2739,NSW,17,163,202,77,38,54,87,643
2745,NSW,184,2219,4218,1772,1417,291,327,10416
2747,NSW,1238,6396,7047,2144,1154,1182,987,20144
2748,NSW,10,89,166,113,180,24,36,603
2749,NSW,203,1480,2171,914,645,282,233,5921
2750,NSW,1935,7904,6198,1961,1074,1095,1502,21669
2752,NSW,39,325,714,351,372,69,83,1940
2753,NSW,338,1874,1978,906,883,313,395,6687
2754,NSW,93,824,1011,382,277,90,125,2806
2756,NSW,418,2923,4508,1981,1890,581,630,12934
2757,NSW,5,63,108,46,53,9,16,302
2758,NSW,25,471,1097,607,709,89,201,3198
2759,NSW,216,2112,3414,1499,993,376,235,8838
2760,NSW,1104,5130,4258,1178,614,1188,773,14247
2761,NSW,346,2738,4130,1594,875,498,284,10464
2762,NSW,157,2686,2719,633,280,333,387,7196
2763,NSW,364,3775,4104,1311,682,409,397,11036
2765,NSW,319,3862,6093,1790,1200,676,568,14512
2766,NSW,333,1718,1738,657,345,331,264,5386
2767,NSW,565,2324,2721,888,464,460,281,7706
2768,NSW,177,2353,3619,1265,623,191,217,8440
2769,NSW,77,1367,2270,549,224,123,159,4773
2770,NSW,2434,7493,5455,1924,1066,2068,1357,21797
2773,NSW,60,595,911,310,223,38,107,2240
2774,NSW,161,1438,1997,665,369,118,192,4934
2775,NSW,19,239,233,94,72,83,319,1060
2776,NSW,48,441,637,233,121,34,78,1588
2777,NSW,315,2042,2653,947,589,142,312,6995
2778,NSW,36,296,397,136,82,25,60,1024
2779,NSW,80,698,717,264,136,54,132,2081
2780,NSW,728,2967,1720,432,207,291,1343,7697
2782,NSW,119,1085,1006,269,118,131,370,3104
2783,NSW,66,456,365,131,66,33,91,1205
2784,NSW,21,184,180,83,33,18,62,576
2785,NSW,165,1064,723,176,76,108,676,2985
2786,NSW,27,254,201,46,28,26,232,823
2787,NSW,62,580,675,268,169,217,403,2383
2790,NSW,601,2397,1983,755,516,451,886,7586
2791,NSW,0,44,46,27,12,17,26,173
